iter	Passed	Remaining
0	148	44529
1	292	43570
2	459	45458
3	613	45386
4	767	45307
5	895	43879
6	1042	43618
7	1182	43148
8	1353	43765
9	1490	43234
10	1666	43772
11	1806	43360
12	1953	43121
13	2122	43354
14	2257	42888
15	2396	42530
16	2562	42655
17	2702	42340
18	2836	41945
19	3015	42220
20	3172	42146
21	3312	41863
22	3462	41703
23	3609	41510
24	3775	41528
25	3910	41208
26	4039	40843
27	4182	40632
28	4318	40355
29	4453	40082
30	4600	39920
31	4758	39855
32	4940	39969
33	5075	39708
34	5218	39511
35	5370	39382
36	5521	39250
37	5688	39223
38	5822	38963
39	5963	38760
40	6128	38715
41	6329	38880
42	6463	38629
43	6621	38522
44	6772	38378
45	6913	38174
46	7058	37997
47	7210	37852
48	7362	37715
49	7516	37582
50	7677	37484
51	7824	37314
52	7980	37190
53	8130	37040
54	8283	36898
55	8426	36716
56	8588	36614
57	8754	36527
58	8926	36462
59	9069	36277
60	9246	36226
61	9383	36020
62	9526	35839
63	9684	35710
64	9833	35553
65	9967	35338
66	10109	35156
67	10262	35011
68	10410	34853
69	10550	34665
70	10701	34516
71	10867	34412
72	11016	34255
73	11153	34062
74	11346	34038
75	11490	33867
76	11654	33752
77	11810	33613
78	11970	33487
79	12130	33359
80	12319	33306
81	12455	33113
82	12616	32986
83	12756	32802
84	12940	32732
85	13085	32560
86	13226	32381
87	13369	32209
88	13513	32038
89	13650	31850
90	13797	31687
91	13929	31493
92	14082	31345
93	14222	31167
94	14385	31041
95	14524	30864
96	14663	30687
97	14801	30508
98	14964	30382
99	15134	30269
100	15284	30114
101	15443	29977
102	15581	29801
103	15727	29640
104	15866	29466
105	16030	29338
106	16172	29170
107	16339	29047
108	16537	28977
109	16661	28778
110	16803	28611
111	16931	28421
112	17064	28239
113	17214	28087
114	17362	27930
115	17537	27818
116	17669	27637
117	17829	27500
118	17986	27357
119	18150	27225
120	18286	27051
121	18442	26907
122	18597	26762
123	18743	26603
124	18894	26452
125	19034	26285
126	19187	26137
127	19323	25966
128	19483	25826
129	19658	25707
130	19806	25552
131	19969	25416
132	20146	25296
133	20324	25178
134	20483	25035
135	20652	24904
136	20788	24733
137	20931	24571
138	21077	24413
139	21199	24228
140	21353	24079
141	21508	23931
142	21698	23822
143	21862	23684
144	22016	23535
145	22159	23373
146	22310	23221
147	22464	23071
148	22629	22933
149	22808	22808
150	22957	22653
151	23096	22488
152	23235	22324
153	23389	22174
154	23541	22022
155	23683	21861
156	23842	21716
157	23979	21551
158	24123	21392
159	24311	21272
160	24449	21108
161	24603	20958
162	24763	20813
163	24962	20700
164	25106	20541
165	25263	20393
166	25430	20252
167	25587	20104
168	25740	19952
169	25916	19818
170	26092	19683
171	26246	19532
172	26417	19392
173	26566	19237
174	26724	19088
175	26873	18933
176	27051	18798
177	27205	18646
178	27365	18498
179	27500	18333
180	27657	18183
181	27809	18030
182	27974	17885
183	28158	17752
184	28332	17611
185	28508	17473
186	28668	17323
187	28814	17166
188	28946	17000
189	29171	16889
190	29328	16737
191	29478	16581
192	29688	16459
193	29824	16295
194	29965	16135
195	30154	16000
196	30291	15837
197	30468	15695
198	30604	15532
199	30742	15371
200	30911	15224
201	31085	15081
202	31246	14930
203	31391	14772
204	31540	14616
205	31708	14469
206	31891	14328
207	32027	14166
208	32243	14039
209	32423	13895
210	32553	13730
211	32693	13571
212	32870	13426
213	33036	13276
214	33187	13120
215	33403	12990
216	33559	12836
217	33741	12691
218	33878	12530
219	34047	12380
220	34195	12223
221	34376	12078
222	34532	11923
223	34685	11768
224	34845	11615
225	34986	11455
226	35127	11296
227	35271	11138
228	35447	10990
229	35609	10837
230	35759	10681
231	35900	10522
232	36053	10367
233	36213	10214
234	36352	10055
235	36532	9907
236	36700	9755
237	36837	9596
238	37004	9444
239	37173	9293
