iter	Accuracy	Logloss
0	0.8198653199	0.6780935701
1	0.8198653199	0.6638244417
2	0.8198653199	0.6488320401
3	0.8198653199	0.6306868761
4	0.8198653199	0.6164172617
5	0.8215488215	0.5997174645
6	0.8215488215	0.5856834083
7	0.8198653199	0.5760984013
8	0.8215488215	0.5623937482
9	0.8215488215	0.5542212936
10	0.8215488215	0.5432001396
11	0.8198653199	0.5334194607
12	0.8198653199	0.5241770394
13	0.8198653199	0.5152029551
14	0.8198653199	0.5066559029
15	0.8198653199	0.5001275065
16	0.8215488215	0.4936276846
17	0.8215488215	0.4882133428
18	0.8215488215	0.481654604
19	0.8215488215	0.4762829391
20	0.8215488215	0.471379345
21	0.8316498316	0.4674290484
22	0.8333333333	0.4613720852
23	0.835016835	0.4563073316
24	0.8383838384	0.4504206653
25	0.835016835	0.4452293088
26	0.8367003367	0.440451822
27	0.8417508418	0.4359644202
28	0.8417508418	0.4315745094
29	0.8400673401	0.4293783133
30	0.8400673401	0.4264654809
31	0.8400673401	0.4230511771
32	0.8400673401	0.4216560125
33	0.8400673401	0.4189079151
34	0.8400673401	0.416702648
35	0.8400673401	0.414657838
36	0.8400673401	0.4135093317
37	0.8400673401	0.4120120564
38	0.8400673401	0.4089892542
39	0.8400673401	0.406460098
40	0.8417508418	0.4043848979
41	0.8417508418	0.4028299789
42	0.8451178451	0.4015189232
43	0.8451178451	0.4000061814
44	0.8451178451	0.398469105
45	0.8468013468	0.3968055877
46	0.8468013468	0.3942545623
47	0.8484848485	0.3924282662
48	0.8484848485	0.3920437006
49	0.8501683502	0.3909520362
50	0.8468013468	0.3891382109
51	0.8501683502	0.3875127457
52	0.8501683502	0.3869414943
53	0.8501683502	0.3862910646
54	0.8501683502	0.3857479668
55	0.8501683502	0.3851229611
56	0.8501683502	0.3843436782
57	0.8518518519	0.3823513595
58	0.8518518519	0.381934599
59	0.8518518519	0.3811270528
60	0.8518518519	0.3800853946
61	0.8552188552	0.3791192658
