iter	Passed	Remaining
0	10	3138
1	17	2615
2	30	3062
3	44	3281
4	63	3750
5	77	3780
6	91	3832
7	104	3810
8	118	3816
9	132	3856
10	143	3762
11	156	3750
12	169	3733
13	181	3714
14	194	3695
15	217	3852
16	229	3827
17	248	3894
18	261	3865
19	274	3837
20	295	3932
21	308	3903
22	321	3877
23	343	3949
24	356	3917
25	369	3889
26	382	3862
27	395	3839
28	408	3813
29	420	3787
30	434	3766
31	446	3742
32	453	3671
33	469	3670
34	483	3659
35	496	3638
36	508	3617
37	522	3600
38	548	3667
39	561	3647
40	574	3628
41	587	3606
42	611	3652
43	623	3629
44	636	3607
45	658	3636
46	671	3613
47	685	3598
48	692	3545
49	705	3525
50	718	3505
51	737	3516
52	747	3481
53	759	3461
54	772	3442
55	785	3424
56	799	3407
57	811	3387
58	824	3368
59	837	3349
60	849	3330
61	863	3315
62	877	3299
63	906	3343
64	922	3335
65	929	3296
66	942	3277
67	955	3259
68	969	3246
69	988	3248
70	1001	3230
71	1015	3215
72	1028	3198
73	1041	3181
74	1055	3165
75	1068	3148
76	1081	3131
77	1095	3118
78	1105	3092
79	1118	3075
80	1131	3059
81	1144	3042
82	1157	3024
83	1172	3015
84	1185	2998
85	1204	2996
86	1216	2979
87	1229	2962
88	1242	2945
89	1255	2928
90	1261	2898
91	1274	2882
92	1288	2869
93	1302	2854
94	1315	2838
95	1328	2823
96	1345	2816
97	1358	2801
98	1372	2785
99	1385	2770
100	1397	2753
101	1407	2731
102	1419	2715
103	1435	2704
104	1448	2689
105	1461	2675
106	1488	2684
107	1501	2670
108	1515	2655
109	1529	2641
110	1559	2655
111	1580	2653
112	1593	2636
113	1612	2630
114	1625	2614
115	1644	2607
116	1657	2591
117	1691	2608
118	1706	2594
119	1720	2580
120	1738	2572
121	1751	2556
122	1764	2539
123	1786	2535
124	1802	2523
125	1815	2506
126	1828	2490
127	1841	2474
128	1854	2458
129	1881	2460
130	1894	2443
131	1908	2428
132	1921	2412
133	1934	2396
134	1947	2380
135	1960	2363
136	1973	2347
137	1984	2329
138	1998	2314
139	2011	2298
140	2024	2282
141	2052	2283
142	2065	2267
143	2078	2251
144	2091	2235
145	2099	2214
146	2113	2200
147	2127	2185
148	2141	2170
149	2148	2148
150	2161	2133
151	2174	2117
152	2187	2102
153	2212	2097
154	2226	2082
155	2236	2064
156	2249	2049
157	2263	2033
158	2276	2018
159	2289	2003
160	2303	1988
161	2316	1973
162	2329	1957
163	2342	1942
164	2355	1927
165	2369	1912
166	2382	1897
167	2395	1882
168	2412	1870
169	2425	1855
170	2444	1843
171	2450	1823
172	2463	1808
173	2476	1793
174	2489	1778
175	2505	1765
176	2519	1750
177	2533	1736
178	2550	1723
179	2563	1709
180	2577	1694
181	2590	1679
182	2600	1662
183	2613	1647
184	2626	1632
185	2644	1621
186	2658	1606
187	2676	1594
188	2689	1579
189	2703	1564
190	2723	1554
191	2736	1539
192	2749	1524
193	2762	1509
194	2775	1494
195	2788	1479
196	2801	1464
197	2815	1450
198	2828	1435
199	2835	1417
200	2848	1402
201	2861	1388
202	2881	1376
203	2893	1361
204	2907	1347
205	2920	1332
206	2933	1318
207	2946	1303
208	2959	1288
209	2978	1276
210	2992	1262
211	3005	1247
212	3023	1234
213	3035	1220
214	3051	1206
215	3070	1193
216	3084	1179
217	3101	1166
218	3115	1152
219	3129	1137
220	3142	1123
221	3155	1108
222	3162	1091
223	3175	1077
224	3188	1062
225	3201	1048
226	3214	1033
227	3227	1019
228	3241	1004
229	3254	990
230	3266	975
231	3291	964
232	3305	950
233	3319	936
234	3332	921
235	3345	907
236	3358	892
237	3371	878
238	3384	863
239	3398	849
240	3411	835
241	3424	820
242	3438	806
243	3451	792
244	3464	777
245	3478	763
246	3498	750
247	3513	736
248	3527	722
249	3540	708
250	3559	694
251	3572	680
252	3586	666
253	3600	651
254	3613	637
255	3626	623
256	3640	609
257	3654	594
258	3667	580
259	3680	566
260	3693	551
261	3706	537
262	3721	523
263	3733	509
264	3746	494
265	3760	480
266	3773	466
267	3786	452
268	3799	437
269	3813	423
270	3826	409
271	3839	395
272	3852	381
273	3865	366
274	3879	352
275	3892	338
276	3905	324
277	3920	310
278	3946	297
279	3959	282
280	3973	268
281	3986	254
282	4015	241
283	4033	227
284	4046	212
285	4059	198
286	4073	184
287	4086	170
288	4099	156
289	4114	141
290	4127	127
291	4140	113
292	4154	99
293	4168	85
294	4181	70
295	4194	56
296	4207	42
297	4221	28
298	4234	14
299	4247	0
